visit_id	wifi_id	date	indices
v9478	9980	17270	394378;394379;394380;394387
v9479	9980	17315	474570;474571;474573;474574;474585;474615;474616;474617;474618;474628;474752;474765;474819;474822;474826;474829
v9768	10363	17308	461627;461628;461629;461630;461631;461632;461633
v9769	10363	17317	481605;481606
v9904	10592	17279	414075;414076;414077;414078;414083;414085;414086;414087;414089;414107;414108;414114
v9905	10592	17284	418728;418729
v10046	10788	17187	90281;90282;90285;90346;90352;90359;90367;90370;90373;90374;90380;90451;90458;90474;90476;90505;90517;90638;90640;90652;90752;90753;90760;90801;90808;90813;91431;91433;91434
v10117	10879	17225	258634;258635;258636;258649;258652;258662;258665;259248;259249;259250;259251;259252;260791;260793;260815;260816;260817;260819;260820;260821;260822;260823;260825
v10267	11110	17195	121325;121326;121331;121332;121333;121336;121337
v10268	11110	17241	323102;323103;323104;323105;323116;323120;323127;323151;323152;323153;323155;323162
v10440	11353	17206	179382;179383;179385;179387;179394
v10441	11353	17233	291250;291251;291253;291255;291258;291262;291265;291279;291295;291303;291309;291315;291324;291349;291352;291354;291359;291368;291371
v10669	11730	17248	345317;345318;345321;345326
v10670	11730	17327	496953;496954;496955;496956
v10680	11753	17259	383814;383815;383816;383818;383821;383858;383868;383890;383937;383954;383989;383990;384004;384023;384056;384063;384069;384095;384098
v10759	11873	17188	100088;100095;100102;100103;100110;100215
v10867	12013	17187	91623;91624;91625;91626;91628;91631;91632;91633;91636;91649;91651;91677
v10868	12013	17199	146734;146736;146737;146740;146741;146742;146746;146851;146857;146859;146863
v10917	12098	17226	262653;262654;262661;262662
v10918	12098	17227	268434;268435;268436;268437;268439;268441;268443
v10919	12098	17232	285758;285759;285760;285761
v10922	12100	17245	336730
v10934	12122	17315	475229;475230;475231;475232;475233;475238;475250;475252;475253;475254;475260;475263;475374
v10962	12177	17196	128601;128612;128613;128617;128624;128627;128628;128630;128632;128638
v10963	12177	17319	484768;484770;484771;484772;484778;484781;484784;484792;484793;484794;484795;484801;484830;484831
v11183	12508	17239	314399;314400;314403;314423;314426;314445
v11293	12707	17232	286758;286759;286760;286761;286790;286791;286815;286822;286830;286851;286854;286856;286857;286863;286870
v11294	12707	17259	383200;383202;383203;383209;383210;383229;383240
